Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9950391500649381,0.8545454545454545,0.7444444444444444,0.9975076203697162,1.0,1.0,0.8666666666666666,0.8200000000000001,1.0,1.0,20
ContextCite100,0.993455969497729,0.8266666666666665,0.72,0.9960928140938309,0.95,1.0,0.85,0.78,1.0,1.0,20
TMC100,0.9876547613914284,0.7915151515151514,0.6755555555555555,0.9918498515543103,0.85,0.975,0.8166666666666667,0.77,1.0,1.0,20
ContextCite64,0.9890353472831303,0.7903030303030303,0.6733333333333332,0.9942162926651623,0.95,1.0,0.8,0.75,1.0,1.0,20
KernelShap64,0.9907880547234627,0.7793939393939393,0.6466666666666666,0.9927445810143259,0.9,0.975,0.7833333333333333,0.75,1.0,1.0,20
TMC64,0.9712415837108125,0.766060606060606,0.6355555555555555,0.981897900318982,0.7,0.95,0.7666666666666666,0.73,1.0,1.0,20
KernelShap32,0.9728136965748762,0.7660606060606059,0.6377777777777778,0.9908643805569755,0.95,0.975,0.7166666666666666,0.79,1.0,1.0,20
ContextCite32,0.9559790219796686,0.7127272727272727,0.5955555555555555,0.9674288398098069,0.85,0.975,0.8,0.73,1.0,1.0,20
BetaShap (U)100,0.8664761833257177,0.6733333333333332,0.5488888888888888,0.9563662082705877,0.7,0.9,0.7666666666666666,0.74,1.0,1.0,20
TMC32,0.9706012007583695,0.6690909090909091,0.5444444444444444,0.9856544381572343,0.8,0.925,0.7833333333333333,0.65,1.0,1.0,20
LOO,0.9797898455975013,0.5957575757575757,0.47777777777777775,0.9790023708504512,0.95,0.975,0.8,0.73,1.0,1.0,20
BetaShap (U)64,0.8138253313977699,0.5563636363636363,0.45555555555555555,0.9333395500993229,0.75,0.875,0.7666666666666666,0.65,1.0,0.975,20
BetaShap (U)32,0.8088081110558709,0.5072727272727272,0.4066666666666666,0.9179754951277255,0.75,0.85,0.6833333333333333,0.61,1.0,0.9666666666666666,20
