Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
TMC100,0.9810576085551702,0.846060606060606,0.7222222222222221,0.9858768202113586,0.85,0.925,0.8166666666666667,0.85,1.0,1.0,20
WSS100,0.9934610441050331,0.8406060606060605,0.731111111111111,0.9930855906957016,0.95,0.975,0.8666666666666666,0.8400000000000001,1.0,1.0,20
TMC64,0.9420333830229575,0.8254545454545454,0.6888888888888889,0.9587113279688942,0.6,0.925,0.85,0.8400000000000001,1.0,1.0,20
ContextCite100,0.9890599850260502,0.7824242424242424,0.671111111111111,0.9928783384495441,0.95,0.975,0.8833333333333332,0.79,1.0,1.0,20
WSS64,0.9883680354097597,0.7775757575757575,0.6533333333333332,0.9922188161585617,1.0,0.975,0.8666666666666666,0.8099999999999999,1.0,1.0,20
KernelShap100,0.9938658746925919,0.7624242424242423,0.6555555555555554,0.994806151411965,1.0,1.0,0.8666666666666666,0.79,1.0,1.0,20
ContextCite64,0.987250146940989,0.7612121212121211,0.6288888888888888,0.9957581368834495,0.95,0.975,0.8666666666666666,0.75,1.0,1.0,20
BetaShap (U)64,0.9313091862615879,0.7278787878787878,0.6022222222222221,0.9652512698385024,0.95,0.925,0.7666666666666666,0.75,1.0,1.0,20
KernelShap64,0.983329942326779,0.7145454545454545,0.5866666666666667,0.993638358465879,0.95,1.0,0.85,0.75,1.0,1.0,20
KernelShap32,0.9484482399610877,0.6969696969696969,0.5622222222222222,0.989418200733217,1.0,0.975,0.8333333333333334,0.72,1.0,1.0,20
BetaShap (U)32,0.9488384873310102,0.6963636363636363,0.5777777777777777,0.96174420900207,0.95,0.925,0.7666666666666666,0.77,1.0,1.0,20
TMC32,0.9786096520335693,0.6945454545454545,0.5644444444444444,0.9893497232996717,1.0,0.9,0.8166666666666667,0.8,1.0,1.0,20
ContextCite32,0.9631361582554563,0.686186984287539,0.5592906593313729,0.9883855035663516,0.9,0.925,0.8166666666666667,0.72,1.0,1.0,20
BetaShap (U)100,0.8493378668619831,0.6842424242424242,0.5622222222222222,0.916398844481647,0.5,0.85,0.8166666666666667,0.75,1.0,1.0,20
WSS32,0.7032084174077523,0.43090909090909085,0.3333333333333333,0.7885998574461939,0.8,0.525,0.6333333333333333,0.63,1.0,0.975,20
LOO,0.8786973180935943,0.3969696969696969,0.3088888888888889,0.8976921245473853,0.95,0.75,0.6666666666666666,0.63,1.0,1.0,20
