Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
WSS100,0.9944016096548669,0.8266666666666665,0.711111111111111,0.9991895917910206,1.0,0.95,0.9333333333333333,0.86,1.0,1.0,20
KernelShap100,0.9902698395059026,0.8181818181818181,0.7022222222222221,0.9956199322692469,1.0,0.95,0.85,0.85,1.0,1.0,20
ContextCite100,0.9885577301365128,0.7957575757575757,0.6666666666666666,0.9933382120340445,0.9,0.925,0.85,0.8,1.0,1.0,20
TMC100,0.9826332863991356,0.7842424242424242,0.671111111111111,0.9874232408707042,0.95,0.875,0.8,0.8200000000000001,1.0,1.0,20
WSS64,0.9884259738226205,0.7763636363636363,0.6488888888888888,0.9957725100404513,0.95,0.95,0.9166666666666666,0.78,1.0,1.0,20
ContextCite64,0.9882247341530018,0.7696969696969697,0.6422222222222221,0.9967520893102424,0.95,0.9,0.9,0.8,1.0,1.0,20
KernelShap64,0.98039873856331,0.7345454545454545,0.6155555555555555,0.9920420643829642,1.0,0.925,0.7833333333333333,0.79,1.0,1.0,20
ContextCite32,0.9660450249541717,0.7193939393939394,0.5888888888888888,0.993265329084735,0.85,0.925,0.8833333333333334,0.74,1.0,1.0,20
KernelShap32,0.9493698539111526,0.7036363636363635,0.5955555555555555,0.9944079518075505,0.95,0.975,0.85,0.73,1.0,1.0,20
TMC64,0.9524070058062257,0.6939393939393939,0.5733333333333333,0.965019478903456,0.85,0.9,0.7833333333333333,0.77,1.0,1.0,20
BetaShap (U)100,0.8584238454037196,0.6436363636363636,0.5155555555555555,0.936524952856162,0.85,0.775,0.7333333333333333,0.73,1.0,1.0,20
TMC32,0.9526552029330588,0.5939393939393939,0.4844444444444444,0.9686680021476585,1.0,0.825,0.7333333333333333,0.67,1.0,1.0,20
BetaShap (U)64,0.8714177253840502,0.552121212121212,0.4333333333333333,0.9532615058273766,0.95,0.825,0.7333333333333333,0.65,1.0,1.0,20
LOO,0.9073013409187215,0.5133333333333333,0.39777777777777773,0.9260248850261895,0.9,0.825,0.7,0.63,1.0,1.0,20
WSS32,0.7279997540215282,0.4987878787878787,0.38666666666666666,0.8230354333482145,0.8,0.65,0.6166666666666666,0.6599999999999999,1.0,1.0,20
BetaShap (U)32,0.8793162714237743,0.4842424242424242,0.37111111111111106,0.9480030706289799,0.95,0.8,0.6833333333333333,0.63,1.0,1.0,20
