Exact,ContextCite64,KernelShap64,BetaShap (U)64,TMC64,LOO
0.09999944060313562,0.09916184979454275,0.09999722743742998,0.12155361332823975,0.10000646652757172,0.09776555005148327
0.8499147422239774,0.8507535758723416,0.8431996888552632,0.7523453411034968,0.799993411465098,0.8022342984880083
1.2617407687636357e-05,1.5262993679996806e-10,1.222694140166391e-09,2.229361807879294e-09,0.04841229538402402,1.0082865567537175e-08
5.672589493769956e-07,7.4158672249849795e-09,3.9652584513962236e-11,0.0697660502016267,0.0015877806863950055,4.439870429470973e-11
0.0500726324414256,0.050084566728042436,0.05680308242884101,0.053236379476234455,0.05000000172179819,0.09999977563551281
9.009208354091407e-12,2.1930719299279293e-12,1.7212991443527061e-12,4.701020685035878e-09,1.794448986351053e-09,4.041675027024854e-11
2.325094531472479e-12,6.536395744489167e-12,1.310857438021496e-12,5.8793366585990825e-09,1.6265612150520075e-09,2.5831434118285665e-11
6.951067027952466e-12,4.831025982481139e-12,2.282835435506147e-12,1.2497761217492703e-06,6.630594002119155e-09,3.6548704815061713e-07
2.401627109204901e-11,2.0836376648797883e-11,5.4000035830564525e-12,0.0030961916535117923,3.259755624939904e-08,3.108124826336388e-11
2.2522732111616712e-11,2.179233836977885e-12,5.404004678068024e-12,1.1616510495369871e-06,1.5659526637736983e-09,1.13353824440004e-10
