Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9967463830228132,0.8721212121212121,0.7666666666666666,0.9969176008342133,1.0,0.95,0.8666666666666666,0.8400000000000001,1.0,1.0,20
ContextCite100,0.9948721047892868,0.8333333333333333,0.7155555555555555,0.9934412132318119,1.0,0.875,0.8833333333333334,0.8300000000000001,1.0,1.0,20
KernelShap64,0.9941719758298175,0.8248484848484848,0.7022222222222221,0.992397130630845,1.0,0.9,0.8,0.8,1.0,1.0,20
KernelShap32,0.980963774978712,0.7999999999999999,0.6733333333333332,0.9880542772176776,1.0,0.825,0.75,0.8200000000000001,1.0,1.0,20
TMC100,0.989563329255804,0.7969696969696969,0.6733333333333332,0.9934580571882792,1.0,0.825,0.7833333333333333,0.8200000000000001,1.0,1.0,20
ContextCite64,0.9916124113087186,0.7684848484848483,0.6399999999999999,0.9862925572637083,1.0,0.825,0.75,0.8099999999999999,1.0,1.0,20
TMC64,0.9846258332530008,0.74,0.6222222222222221,0.9889535594463897,1.0,0.825,0.7666666666666666,0.76,1.0,1.0,20
TMC32,0.9683695749742048,0.6896969696969697,0.5644444444444444,0.9909334055756653,1.0,0.925,0.8166666666666667,0.73,1.0,1.0,20
ContextCite32,0.9713171914351166,0.689090909090909,0.5688888888888888,0.9848170710840145,1.0,0.8,0.75,0.7100000000000001,1.0,1.0,20
BetaShap (U)100,0.8727697582837811,0.615151515151515,0.49555555555555547,0.9632338292127578,0.9,0.725,0.65,0.7,1.0,1.0,20
BetaShap (U)32,0.8528560401890241,0.5969696969696969,0.4888888888888888,0.9735098624934058,0.9,0.875,0.7333333333333333,0.6900000000000001,1.0,1.0,20
BetaShap (U)64,0.8451035511267234,0.5509090909090909,0.4466666666666666,0.9686723598723928,0.9,0.8,0.7166666666666666,0.6599999999999999,1.0,1.0,20
LOO,0.964297520355359,0.48545454545454536,0.37111111111111106,0.9697230347651195,1.0,0.8,0.65,0.66,1.0,1.0,20
