Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9951595173503401,0.8903030303030303,0.791111111111111,0.9982761485008866,0.95,0.95,0.9333333333333333,0.8699999999999999,1.0,1.0,20
WSS100,0.9957864052529622,0.8684848484848484,0.7688888888888888,0.9986870673764303,1.0,0.95,0.9333333333333333,0.86,1.0,1.0,20
TMC100,0.9888764543381638,0.8472727272727273,0.7355555555555554,0.9927622987296758,0.95,0.9,0.9166666666666666,0.8400000000000001,1.0,1.0,20
ContextCite100,0.9918172553990301,0.8393939393939392,0.72,0.9957009757809068,0.95,0.9,0.95,0.85,1.0,1.0,20
KernelShap64,0.9911606784734339,0.8284848484848484,0.7066666666666666,0.9941309285800551,0.95,0.9,0.8833333333333334,0.82,1.0,1.0,20
ContextCite64,0.9862154693051577,0.8248484848484848,0.6977777777777777,0.9928671331540906,0.95,0.875,0.9333333333333333,0.8,1.0,1.0,20
TMC64,0.983576160636255,0.8181818181818181,0.6955555555555555,0.9883034154263342,0.95,0.9,0.8666666666666666,0.79,1.0,1.0,20
ContextCite32,0.9660230577157585,0.806060606060606,0.6799999999999999,0.9782898026099023,0.95,0.825,0.8666666666666666,0.8400000000000001,1.0,1.0,20
WSS64,0.9913940654122524,0.7854545454545454,0.6622222222222222,0.9950023124421603,0.95,0.95,0.9333333333333333,0.77,1.0,1.0,20
BetaShap (U)64,0.9168181358111411,0.7375757575757576,0.5977777777777777,0.9501115763254747,0.85,0.875,0.8,0.7,1.0,1.0,20
KernelShap32,0.9719338245928084,0.7284848484848484,0.5977777777777777,0.9861486555032979,1.0,0.85,0.85,0.79,1.0,1.0,20
TMC32,0.9714222383198878,0.7042424242424242,0.5844444444444444,0.9806593875193697,1.0,0.925,0.8166666666666667,0.75,1.0,1.0,20
BetaShap (U)100,0.9220437109712973,0.6963636363636363,0.5466666666666666,0.946603509211322,0.85,0.675,0.7333333333333333,0.77,1.0,1.0,20
BetaShap (U)32,0.9292986292844695,0.6848484848484848,0.551111111111111,0.9487848783471167,0.85,0.9,0.8,0.74,1.0,1.0,20
WSS32,0.7190787844603188,0.5569696969696969,0.4377777777777777,0.897848891507811,0.75,0.725,0.6666666666666666,0.6900000000000001,1.0,1.0,20
LOO,0.963598240665265,0.5333333333333333,0.42444444444444446,0.9665814789231701,0.95,0.925,0.75,0.6599999999999999,1.0,1.0,20
