Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
WSS100,0.9942753935516115,0.849090909090909,0.7422222222222221,0.9958214683865452,1.0,0.95,0.8833333333333334,0.8800000000000001,1.0,1.0,20
KernelShap100,0.9941027608760787,0.8387878787878786,0.7355555555555554,0.9960622885651645,1.0,0.975,0.8833333333333332,0.8200000000000001,1.0,1.0,20
ContextCite100,0.9925020775680047,0.8278787878787878,0.72,0.9937535091268396,1.0,0.975,0.8833333333333334,0.85,1.0,1.0,20
TMC100,0.9910877346809089,0.8181818181818181,0.6933333333333332,0.9939196046437229,0.95,0.975,0.85,0.8300000000000001,1.0,1.0,20
ContextCite64,0.9890098831828306,0.8109090909090908,0.6866666666666666,0.9911679180697004,0.95,0.95,0.85,0.85,1.0,1.0,20
WSS64,0.9868156396091126,0.8024242424242424,0.6822222222222221,0.991600981188433,0.95,0.975,0.8833333333333332,0.8300000000000001,1.0,1.0,20
KernelShap64,0.991374511735445,0.8024242424242424,0.6822222222222221,0.9968945769809119,1.0,0.95,0.9,0.8,1.0,1.0,20
TMC64,0.9888108425188171,0.7806060606060605,0.6622222222222222,0.9955260786596056,1.0,0.925,0.9166666666666666,0.8300000000000001,1.0,1.0,20
KernelShap32,0.9800028827290299,0.7745454545454544,0.6533333333333332,0.9884145101706896,1.0,0.925,0.85,0.8,1.0,1.0,20
ContextCite32,0.9757672141147768,0.7619445600451147,0.6526239926647062,0.9859851165430005,0.95,0.925,0.85,0.8099999999999999,1.0,1.0,20
TMC32,0.9751342168970281,0.7236363636363635,0.6155555555555555,0.9864737582014032,0.95,0.925,0.8333333333333334,0.76,1.0,1.0,20
BetaShap (U)64,0.9044511642344949,0.6581818181818181,0.5244444444444444,0.9619116686324631,0.85,0.875,0.8166666666666667,0.72,1.0,1.0,20
BetaShap (U)100,0.8985808548429948,0.656969696969697,0.5377777777777777,0.9687799889748693,0.8,0.9,0.7833333333333333,0.6900000000000001,1.0,1.0,20
BetaShap (U)32,0.9234886186099965,0.6442424242424242,0.5244444444444444,0.9733232548300883,0.85,0.95,0.8,0.72,1.0,1.0,20
WSS32,0.9049547313267595,0.6345454545454545,0.5177777777777777,0.9637000262695532,0.95,0.85,0.7833333333333333,0.76,1.0,1.0,20
LOO,0.9776189556542771,0.6175757575757574,0.4977777777777777,0.9784726502313905,1.0,0.9,0.75,0.71,1.0,1.0,20
