Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9908743578931402,0.858181818181818,0.7533333333333332,0.9942153367376261,1.0,0.975,0.9166666666666666,0.8699999999999999,1.0,1.0,20
ContextCite100,0.9900112055910955,0.8484848484848484,0.7266666666666666,0.9964671784504352,1.0,0.975,0.9166666666666666,0.86,1.0,1.0,20
WSS100,0.9919386481994842,0.8466666666666667,0.7377777777777776,0.9968742311667453,1.0,0.95,0.9333333333333333,0.8300000000000001,1.0,1.0,20
WSS64,0.9862910207150035,0.8224242424242423,0.7088888888888888,0.988636795506616,1.0,0.975,0.85,0.8,1.0,1.0,20
ContextCite64,0.9840319657528559,0.8175757575757576,0.6955555555555555,0.9933387808379368,1.0,1.0,0.8666666666666666,0.85,1.0,1.0,20
TMC100,0.9819324679686762,0.7999999999999999,0.6822222222222221,0.9864644549882833,1.0,0.9,0.8666666666666666,0.8099999999999999,1.0,1.0,20
KernelShap64,0.9858207423787343,0.7903030303030303,0.671111111111111,0.990616291274289,1.0,1.0,0.8833333333333334,0.8,1.0,1.0,20
TMC64,0.9784143225408883,0.7648484848484848,0.6355555555555555,0.98343478005687,1.0,0.85,0.8166666666666667,0.8099999999999999,1.0,1.0,20
KernelShap32,0.9782521153787611,0.763030303030303,0.6422222222222221,0.9816110158166861,1.0,0.9,0.8333333333333334,0.77,1.0,1.0,20
ContextCite32,0.9619422878319641,0.6993939393939393,0.5666666666666667,0.9839175909244633,1.0,0.925,0.85,0.72,1.0,1.0,20
TMC32,0.9519859591752047,0.6915151515151514,0.5533333333333333,0.9749040248160832,1.0,0.75,0.7666666666666666,0.74,1.0,1.0,20
BetaShap (U)100,0.8617150953422291,0.6078787878787878,0.4844444444444444,0.945531722875281,0.95,0.725,0.7833333333333333,0.6599999999999999,1.0,1.0,20
BetaShap (U)64,0.8587749070825959,0.6006060606060605,0.47333333333333333,0.9415982116643644,0.9,0.7,0.7333333333333333,0.6900000000000001,1.0,1.0,20
LOO,0.9506945469610226,0.5909090909090908,0.48,0.9582870298899258,0.95,0.775,0.7666666666666666,0.6599999999999999,1.0,1.0,20
BetaShap (U)32,0.851286772155316,0.5872727272727272,0.4644444444444444,0.9478914888510553,0.95,0.675,0.7,0.7,1.0,1.0,20
WSS32,0.8436986407430668,0.5078787878787878,0.3933333333333333,0.9103130775363321,0.9,0.7,0.6333333333333333,0.62,1.0,1.0,20
