Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9680192842403366,0.8667586699342302,0.7656729757614693,0.9892745340993266,1.0,0.9733333333333333,0.862,1.0,1.0,100
ContextCite100,0.9500315688856533,0.8453911725482827,0.7296221199464221,0.984795496968776,1.0,0.9733333333333333,0.852,1.0,1.0,100
TMC100,0.9421754475392562,0.8427110375566077,0.726114260523358,0.9709678387966875,1.0,0.9566666666666667,0.8560000000000001,1.0,1.0,100
KernelShap64,0.9579395796882342,0.8285307904862157,0.7186637606716646,0.9834732870079445,1.0,0.9533333333333333,0.84,1.0,1.0,100
ContextCite64,0.934435397736003,0.8206315871745606,0.7049548179436502,0.9776894459848875,1.0,0.96,0.838,1.0,1.0,100
TMC64,0.9134199243303663,0.7949538307865558,0.6741142605233581,0.9494054001358478,0.99,0.94,0.8220000000000001,1.0,0.995,100
KernelShap32,0.9106502546444959,0.7537389640977884,0.6252047043279595,0.9648027791748851,1.0,0.91,0.762,1.0,1.0,100
ContextCite32,0.8957499335997121,0.7361745249342916,0.6066049109773892,0.9449662945260603,0.98,0.9133333333333333,0.782,1.0,0.9883333333333333,100
TMC32,0.8459779031541724,0.7184070847847677,0.5905587049678025,0.9187348392277838,0.96,0.9066666666666667,0.778,1.0,0.9783333333333333,100
BetaShap (U)100,0.7872374632628631,0.6749670219503419,0.5499535523463644,0.8816465008385874,0.99,0.8666666666666667,0.764,1.0,0.995,100
BetaShap (U)64,0.7662142617991886,0.6621778517061294,0.5468323969741913,0.8852553862953514,0.97,0.88,0.732,1.0,0.9833333333333333,100
BetaShap (U)32,0.7523460662160604,0.6269887922142514,0.5046905288404658,0.866865738326925,0.97,0.87,0.7260000000000001,1.0,0.985,100
LOO,0.8241544792373144,0.6180990391722099,0.5008989898989898,0.9154319071921497,0.97,0.8533333333333333,0.732,1.0,0.9833333333333333,100
