Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
TMC100,0.9128201105779604,0.8046060606060605,0.6728888888888888,0.9620973514986056,0.99,0.96,0.8220000000000001,1.0,0.995,100
KernelShap100,0.9556566756036043,0.7973333333333332,0.6737777777777777,0.9874132710643085,1.0,0.9533333333333333,0.82,1.0,1.0,100
ContextCite100,0.9334929175588996,0.76776338745127,0.6346302632740932,0.978170825619273,1.0,0.9266666666666667,0.7879999999999999,1.0,1.0,100
KernelShap64,0.9312082223553082,0.75084488736032,0.6195040857713889,0.9762955479269756,0.99,0.9366666666666668,0.8,1.0,0.995,100
TMC64,0.8789122442729653,0.7456969696969696,0.6106666666666666,0.9381528421416533,0.99,0.9233333333333333,0.786,1.0,0.995,100
ContextCite64,0.906879779670199,0.7399896401955398,0.6022709687498614,0.9675124993877046,1.0,0.9033333333333333,0.762,1.0,1.0,100
TMC32,0.8065907246541015,0.6496969696969696,0.5146666666666666,0.908312717449748,0.98,0.87,0.74,1.0,0.99,100
KernelShap32,0.8684146163844588,0.6410311333924248,0.5137363522546733,0.9444657347273379,0.99,0.8666666666666667,0.742,1.0,0.995,100
ContextCite32,0.8533036418868909,0.6401441817347674,0.5086754624488727,0.9334895375019857,0.98,0.8633333333333333,0.722,1.0,0.9883333333333333,100
BetaShap (U)100,0.7307391403946438,0.6198787878787878,0.5031111111111111,0.8692190555386999,0.98,0.8433333333333333,0.7140000000000001,0.99,0.9875,100
BetaShap (U)64,0.71085158100399,0.599030303030303,0.4804444444444444,0.8613268101973552,0.99,0.85,0.6920000000000001,1.0,0.9933333333333333,100
BetaShap (U)32,0.684405646025114,0.561090909090909,0.43911111111111106,0.8361288092597441,0.99,0.8266666666666667,0.7120000000000001,1.0,0.995,100
LOO,0.6601973270714757,0.4663030303030303,0.3684444444444444,0.7994710596093302,0.89,0.79,0.674,0.98,0.9373333333333334,100
