Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau
0,What is the association between cell phone use and glioblastoma?,ContextCite32,0.9984906739985462,0.7939393939393938,1.0,0.6444444444444444
0,What is the association between cell phone use and glioblastoma?,WSS32,0.9984961408252482,0.7939393939393938,1.0,0.6444444444444444
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)32,0.9845778538550928,0.4424242424242424,0.9901350747361655,0.3333333333333333
0,What is the association between cell phone use and glioblastoma?,TMC32,0.9974418750108577,0.5515151515151515,0.966979326718207,0.37777777777777777
0,What is the association between cell phone use and glioblastoma?,ContextCite64,0.9990807198751873,0.5636363636363636,0.9910009150809979,0.4222222222222222
0,What is the association between cell phone use and glioblastoma?,WSS64,0.9987501565751767,0.5272727272727272,0.9910009150809979,0.37777777777777777
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)64,0.9848269469548474,0.3696969696969697,0.9901350747361655,0.28888888888888886
0,What is the association between cell phone use and glioblastoma?,TMC64,0.9985071675700627,0.6727272727272726,0.9910009150809979,0.5111111111111111
0,What is the association between cell phone use and glioblastoma?,ContextCite100,0.9992287103454901,0.8060606060606059,0.9910009150809979,0.6
0,What is the association between cell phone use and glioblastoma?,WSS100,0.9990223430269872,0.6606060606060605,0.9910009150809979,0.4666666666666666
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)100,0.9912198478208964,0.3939393939393939,0.996129142035611,0.28888888888888886
0,What is the association between cell phone use and glioblastoma?,TMC100,0.9991127327933683,0.8060606060606059,0.9910009150809979,0.6444444444444444
0,What is the association between cell phone use and glioblastoma?,LOO,0.9951225338830747,0.12727272727272726,0.9718583641865361,0.1111111111111111
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite32,0.6983340677365438,0.5393939393939393,0.8904335038104779,0.37777777777777777
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,WSS32,0.6995929214188032,0.5393939393939393,0.8904335038104779,0.37777777777777777
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)32,0.7384170430060784,0.32121212121212117,0.7296769872886805,0.24444444444444444
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC32,0.8491931308094741,0.6606060606060605,0.8156317402302105,0.5555555555555555
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite64,0.8689224569796133,0.6606060606060605,0.9479086137685984,0.5111111111111111
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,WSS64,0.8772955118906478,0.6606060606060605,0.9479086137685984,0.5111111111111111
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)64,0.7383050202086568,0.309090909090909,0.8139180984007434,0.24444444444444444
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC64,0.9183429179960471,0.8181818181818182,0.923560329983868,0.6444444444444444
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite100,0.8705574422763954,0.6969696969696969,0.9492666427882847,0.6
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,WSS100,0.8597409050395923,0.6363636363636362,0.9492666427882847,0.5111111111111111
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)100,0.6251838694050985,0.6606060606060605,0.8363089679427984,0.5555555555555555
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC100,0.938749339111896,0.8909090909090909,0.9479086137685984,0.7777777777777777
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,LOO,0.687242620989479,0.1515151515151515,0.7834414201273904,0.15555555555555553
2,The NoSAS Score can be used for screening of which disorders?,ContextCite32,0.9405413358120309,0.8545454545454544,0.9847412996604956,0.7333333333333333
2,The NoSAS Score can be used for screening of which disorders?,WSS32,0.9402626971247396,0.8545454545454544,0.9847412996604956,0.7333333333333333
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)32,0.7633536459351822,0.8666666666666665,0.9847412996604956,0.6888888888888888
2,The NoSAS Score can be used for screening of which disorders?,TMC32,0.7409810258079806,0.6242424242424242,0.7659939646898692,0.5111111111111111
2,The NoSAS Score can be used for screening of which disorders?,ContextCite64,0.945626506658693,0.8875420937728943,1.0000000000000002,0.8090398349558905
2,The NoSAS Score can be used for screening of which disorders?,WSS64,0.9283620123377923,0.8545454545454544,1.0000000000000002,0.7333333333333333
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)64,0.7342152994238939,0.6848484848484848,0.9523241385270802,0.5111111111111111
2,The NoSAS Score can be used for screening of which disorders?,TMC64,0.7991400205004676,0.7818181818181817,0.8940535776985337,0.5555555555555555
2,The NoSAS Score can be used for screening of which disorders?,ContextCite100,0.9533118546910011,0.9361745372672995,0.9847412996604956,0.8539864924534399
2,The NoSAS Score can be used for screening of which disorders?,WSS100,0.9562802136803216,0.9030303030303028,0.9847412996604956,0.7777777777777777
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)100,0.5678232581849372,0.4666666666666666,0.8438465473860608,0.28888888888888886
2,The NoSAS Score can be used for screening of which disorders?,TMC100,0.8780444516911936,0.8424242424242423,0.9523241385270802,0.6444444444444444
2,The NoSAS Score can be used for screening of which disorders?,LOO,0.7637635446280928,0.7696969696969697,0.9743100076118507,0.6444444444444444
3,What species is associated with Tetrodotoxin?,ContextCite32,0.9723390367601371,0.8060606060606059,1.0000000000000002,0.6888888888888888
3,What species is associated with Tetrodotoxin?,WSS32,0.972481629174327,0.8060606060606059,1.0000000000000002,0.6888888888888888
3,What species is associated with Tetrodotoxin?,BetaShap (U)32,0.9589695470615296,0.6606060606060605,1.0000000000000002,0.5555555555555555
3,What species is associated with Tetrodotoxin?,TMC32,0.9810831226118734,0.6606060606060605,1.0000000000000002,0.5111111111111111
