Question_Index,Query,Method,Pearson,Spearman,Num_Items
0,What is the implication of histone lysine methylation in medulloblastoma?,ContextCite32,0.9964408882724544,0.8424242424242423,10
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS32,0.996440888272454,0.8424242424242423,10
0,What is the implication of histone lysine methylation in medulloblastoma?,BetaShap (U)32,0.9901001948346307,0.5151515151515151,10
0,What is the implication of histone lysine methylation in medulloblastoma?,TMC32,0.9929503975903181,0.4545454545454545,10
0,What is the implication of histone lysine methylation in medulloblastoma?,ContextCite64,0.9990806603328499,0.8666666666666665,10
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS64,0.9990806603328499,0.8666666666666665,10
0,What is the implication of histone lysine methylation in medulloblastoma?,BetaShap (U)64,0.9856579412848663,0.3939393939393939,10
0,What is the implication of histone lysine methylation in medulloblastoma?,TMC64,0.9949967427397098,0.43030303030303024,10
0,What is the implication of histone lysine methylation in medulloblastoma?,ContextCite100,0.9995208192618715,0.9151515151515152,10
0,What is the implication of histone lysine methylation in medulloblastoma?,WSS100,0.9995208192618716,0.9151515151515152,10
0,What is the implication of histone lysine methylation in medulloblastoma?,BetaShap (U)100,0.9872129783964982,0.4424242424242424,10
0,What is the implication of histone lysine methylation in medulloblastoma?,TMC100,0.9995040730457122,0.8545454545454544,10
0,What is the implication of histone lysine methylation in medulloblastoma?,LOO,0.9956252533298641,0.3161108827136336,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,ContextCite32,0.9352592504892548,0.6969696969696969,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS32,0.9352592504892541,0.6969696969696969,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,BetaShap (U)32,0.3539792557063239,0.49090909090909085,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,TMC32,-0.061938776504177485,0.19999999999999998,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,ContextCite64,0.9883190848232948,0.7939393939393938,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS64,0.9883190848232948,0.7939393939393938,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,BetaShap (U)64,0.2201878370352442,-0.006060606060606061,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,TMC64,0.13999540226719892,0.5515151515151515,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,ContextCite100,0.9873793071223174,0.9151515151515152,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,WSS100,0.987379307122317,0.9151515151515152,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,BetaShap (U)100,0.6229413942708178,0.19999999999999998,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,TMC100,0.8747988561400251,0.8666666666666665,10
1,What is the role of STAG1/STAG2 proteins in differentiation?,LOO,0.9495126803165911,0.2606060606060606,10
2,What is the association between cell phone use and glioblastoma?,ContextCite32,0.6941531672846295,0.4545454545454545,10
2,What is the association between cell phone use and glioblastoma?,WSS32,0.6941531672846263,0.4545454545454545,10
2,What is the association between cell phone use and glioblastoma?,BetaShap (U)32,0.8127550366730277,0.5757575757575757,10
2,What is the association between cell phone use and glioblastoma?,TMC32,0.7085785526406164,0.3939393939393939,10
2,What is the association between cell phone use and glioblastoma?,ContextCite64,0.8254514066581599,0.6121212121212121,10
2,What is the association between cell phone use and glioblastoma?,WSS64,0.8254514066581603,0.6121212121212121,10
2,What is the association between cell phone use and glioblastoma?,BetaShap (U)64,0.8798785157743785,0.8909090909090909,10
2,What is the association between cell phone use and glioblastoma?,TMC64,0.7726774574707589,0.6,10
2,What is the association between cell phone use and glioblastoma?,ContextCite100,0.9084711958022805,0.8787878787878788,10
2,What is the association between cell phone use and glioblastoma?,WSS100,0.9084711958022804,0.8787878787878788,10
2,What is the association between cell phone use and glioblastoma?,BetaShap (U)100,0.8852105713954744,0.9272727272727272,10
2,What is the association between cell phone use and glioblastoma?,TMC100,0.9670597985033618,0.9393939393939393,10
2,What is the association between cell phone use and glioblastoma?,LOO,-0.40612439233205644,-0.22492505116162387,10
3,What is the applicability of the No Promoter Left Behind method?,ContextCite32,0.6014135576752024,0.49090909090909085,10
3,What is the applicability of the No Promoter Left Behind method?,WSS32,0.601413557675202,0.49090909090909085,10
3,What is the applicability of the No Promoter Left Behind method?,BetaShap (U)32,0.20982978498377436,0.19999999999999998,10
3,What is the applicability of the No Promoter Left Behind method?,TMC32,0.3739953314838604,0.16363636363636364,10
3,What is the applicability of the No Promoter Left Behind method?,ContextCite64,0.8096910585137169,0.709090909090909,10
3,What is the applicability of the No Promoter Left Behind method?,WSS64,0.809691058513717,0.709090909090909,10
3,What is the applicability of the No Promoter Left Behind method?,BetaShap (U)64,0.20707592742350078,0.10303030303030303,10
3,What is the applicability of the No Promoter Left Behind method?,TMC64,0.4136670039443107,0.24848484848484845,10
3,What is the applicability of the No Promoter Left Behind method?,ContextCite100,0.8565756462398121,0.6606060606060605,10
3,What is the applicability of the No Promoter Left Behind method?,WSS100,0.8565756462398117,0.6606060606060605,10
3,What is the applicability of the No Promoter Left Behind method?,BetaShap (U)100,0.06359463222518397,0.2121212121212121,10
3,What is the applicability of the No Promoter Left Behind method?,TMC100,0.39979961633546707,0.2606060606060606,10
3,What is the applicability of the No Promoter Left Behind method?,LOO,0.8653768409721401,0.7939393939393938,10
