Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC100,0.9370185884593148,0.9126984126984128,11
WSS100,0.9524560672131137,0.888888888888889,11
BetaShap (U),0.916826166222018,0.8603174603174605,11
WSS64,0.9267791915212004,0.8571428571428572,11
ContextCite100,0.9217619533643073,0.8507936507936509,11
ContextCite64,0.9065184253036872,0.8301587301587303,11
TMC64,0.9048932615171047,0.8111111111111112,11
ContextCite32,0.8364065049252905,0.6746031746031746,11
WSS32,0.8300152767918914,0.6666666666666667,11
LOO,0.7431018179647512,0.5460317460317461,11
