Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
ContextCite100,0.9711887434111643,0.8966692618153198,0.7959836475909625,0.9884882364321165,100
WSS100,0.9689724226028551,0.8936969696969697,0.7946666666666665,0.9896504145090255,100
ContextCite64,0.9611812268747317,0.8718742301140826,0.7685734332748578,0.9865090332852299,100
WSS64,0.9599951999653347,0.8752727272727272,0.7728888888888887,0.9878374747913385,100
TMC100,0.920989647037837,0.8327272727272726,0.7142222222222222,0.9639130711432855,100
WSS32,0.9106963646477094,0.7922424242424242,0.6746666666666665,0.959421085126489,100
ContextCite32,0.9105252728596025,0.7889498640304808,0.6716811088188317,0.9596116797825964,100
TMC64,0.8934718345207344,0.780969696969697,0.6573333333333332,0.9496664043855334,100
LOO,0.8574367827244725,0.6509090909090908,0.5368888888888889,0.9197354743461821,100
TMC32,0.8405630207846099,0.6973333333333332,0.576,0.9252965552566002,100
BetaShap (U)32,0.7432498038668558,0.6150303030303029,0.49111111111111105,0.8818447596654408,100
BetaShap (U)64,0.7416690883815373,0.6141818181818182,0.49199999999999994,0.9065889405600304,100
BetaShap (U)100,0.7360702119318547,0.6344242424242423,0.5093333333333333,0.8978259337893832,100
