Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
WSS100,0.9359863916549958,0.800526357563478,100
TMC20,0.9101544433419646,0.7952448542646693,100
ContextCite100,0.9224626588663227,0.7823948355498684,100
TMC10,0.8688574241866139,0.764111539297526,100
WSS64,0.9252123659041884,0.7554162218512951,100
ContextCite64,0.8975252937468557,0.7259538192122064,100
WSS32,0.8751369157548621,0.704345321436968,100
TMC5,0.8276608369562514,0.6762042710105476,100
ContextCite32,0.846333830517009,0.6715996148798895,100
BetaShap (U)20,0.734479236301654,0.6163777669160505,100
BetaShap (U)10,0.6973184645307087,0.6107735193216632,100
BetaShap (U)5,0.7260712484896823,0.5792822180774752,100
LOO,0.7119078625851669,0.5075988147221127,100
