Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
WSS100,0.9713378966105215,0.8214999312003703,100
TMC20,0.9397890241113778,0.8142876254944872,100
ContextCite100,0.9652588170908832,0.812349615398501,100
WSS64,0.9453790044813669,0.778534846574722,100
ContextCite64,0.9540978158360032,0.7706562431896962,100
TMC10,0.9027628716276426,0.7604642778509709,100
ContextCite32,0.9124775534299302,0.7506956458978483,100
WSS32,0.9021839230363411,0.6956121031272471,100
TMC5,0.8660802543348661,0.6603787651325022,100
BetaShap (U)20,0.8057294597845389,0.6571086207724421,100
BetaShap (U)10,0.7592057920659089,0.6336513079114675,100
BetaShap (U)5,0.7462998976872357,0.5284914905406648,100
LOO,0.7189375536521826,0.5265321507760532,100
