Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
WSS100,0.9529822577828351,0.8405088329542876,100
TMC20,0.924934325578328,0.8213761361664911,100
ContextCite100,0.9457660305351991,0.8196807017471621,100
ContextCite64,0.9360484260322788,0.7964015438552675,100
WSS64,0.9287427811206179,0.7844885386404736,100
TMC10,0.8753238696596568,0.7602660397243396,100
ContextCite32,0.8935999257886879,0.7307131920434147,100
WSS32,0.8668100506908689,0.6907664777918794,100
BetaShap (U)20,0.7905650857736611,0.6885829070595157,100
TMC5,0.8252006281098516,0.6719248192125865,100
BetaShap (U)10,0.7317260919860152,0.644629307100452,100
BetaShap (U)5,0.7356834147267225,0.5803791341200261,100
LOO,0.5909220244347932,0.4064826311899482,100
