Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9972821086383256,0.809090909090909,0.7,0.9935592570394963,1.0,1.0,0.7833333333333333,0.8099999999999999,1.0,1.0,20
WSS100,0.9972579923041515,0.7654545454545454,0.6533333333333332,0.9949831066298189,1.0,0.975,0.7666666666666666,0.78,1.0,1.0,20
ContextCite100,0.995215094266635,0.7640666946351364,0.6504268810951392,0.9908187456590809,0.9,0.975,0.7833333333333333,0.75,1.0,1.0,20
ContextCite64,0.990189473541322,0.7592366591628462,0.6438355463864383,0.9895632680951028,0.9,0.95,0.7833333333333333,0.8,1.0,1.0,20
ContextCite32,0.9648913183114433,0.7393939393939393,0.6155555555555555,0.9885153354093262,0.95,0.925,0.7833333333333333,0.77,1.0,1.0,20
TMC100,0.9900228448410845,0.7345454545454545,0.6044444444444443,0.995598490385856,1.0,0.975,0.8166666666666667,0.71,1.0,1.0,20
KernelShap64,0.9940486338078921,0.729090909090909,0.611111111111111,0.9912215201029457,1.0,0.975,0.75,0.76,1.0,1.0,20
WSS64,0.9947244224124212,0.7224242424242424,0.5999999999999999,0.9913203584087652,1.0,0.95,0.7166666666666666,0.72,1.0,1.0,20
TMC64,0.9810211449105546,0.6987878787878787,0.5688888888888888,0.9913059056844771,0.95,0.975,0.8,0.72,1.0,1.0,20
KernelShap32,0.9813372027699565,0.6636363636363636,0.5355555555555556,0.9903774467523274,1.0,0.975,0.7166666666666666,0.7,1.0,1.0,20
BetaShap (U)64,0.9069592632058656,0.6109090909090908,0.49111111111111105,0.9685755310979808,0.9,0.925,0.75,0.6599999999999999,1.0,1.0,20
BetaShap (U)100,0.8656170937872887,0.5854545454545453,0.4666666666666666,0.9684633298184873,0.9,0.9,0.7,0.67,1.0,1.0,20
TMC32,0.9792094205959835,0.5666666666666667,0.45999999999999996,0.9839016237753613,1.0,0.95,0.7333333333333333,0.67,1.0,1.0,20
LOO,0.9889914918318287,0.5412121212121211,0.43999999999999995,0.9746750702927391,0.9,0.925,0.6666666666666666,0.66,1.0,1.0,20
WSS32,0.883616208185433,0.5381818181818181,0.40888888888888886,0.9489641913820328,0.6,0.9,0.7666666666666666,0.63,1.0,1.0,20
BetaShap (U)32,0.9456938692530892,0.4915151515151514,0.37555555555555553,0.9794815974848413,0.95,0.95,0.7166666666666666,0.58,1.0,1.0,20
