Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
WSS100,0.9968233807951814,0.8387878787878786,0.7355555555555554,0.9944657760571705,0.9,0.925,0.8166666666666667,0.8099999999999999,1.0,1.0,20
ContextCite100,0.9959946742488931,0.8327272727272726,0.72,0.9940170644685441,0.9,0.925,0.8,0.79,1.0,1.0,20
ContextCite64,0.9949413750730729,0.8230303030303029,0.7066666666666666,0.9927697880453644,0.9,0.925,0.7666666666666666,0.79,1.0,1.0,20
KernelShap100,0.9964561889593508,0.8212121212121211,0.7088888888888888,0.9954462120372212,0.9,0.95,0.8666666666666666,0.78,1.0,1.0,20
KernelShap64,0.9941212117546059,0.7927272727272727,0.6822222222222221,0.9940315320469297,0.9,0.925,0.8333333333333334,0.79,1.0,1.0,20
TMC100,0.9884630564769017,0.7818181818181817,0.6599999999999999,0.9880494422054069,0.9,0.95,0.7333333333333333,0.8099999999999999,1.0,1.0,20
ContextCite32,0.9786472558181117,0.7791960705352181,0.6547708829289627,0.985659590922517,0.85,0.875,0.75,0.75,1.0,1.0,20
WSS64,0.9925961306046925,0.7496969696969696,0.6244444444444444,0.9890397425393302,0.9,0.925,0.7666666666666666,0.7300000000000001,1.0,1.0,20
KernelShap32,0.9864856204527479,0.7296969696969696,0.6022222222222221,0.99229568653821,0.9,0.9,0.7666666666666666,0.73,1.0,1.0,20
TMC64,0.973063924450045,0.7103030303030302,0.5755555555555555,0.9839997305526177,0.85,0.9,0.7,0.76,1.0,1.0,20
TMC32,0.9657844239061288,0.6654545454545453,0.5399999999999999,0.9865377302432649,0.9,0.925,0.7666666666666666,0.71,1.0,1.0,20
BetaShap (U)100,0.8306434364089987,0.6084848484848484,0.49777777777777776,0.9325657952984846,0.8,0.875,0.6833333333333333,0.6599999999999999,1.0,1.0,20
LOO,0.9858606000181016,0.5969696969696969,0.4688888888888888,0.9859123095426996,0.85,0.925,0.7166666666666666,0.65,1.0,1.0,20
WSS32,0.8322041170834293,0.5496969696969696,0.4133333333333333,0.9337561282264776,0.6,0.825,0.65,0.67,1.0,1.0,20
BetaShap (U)64,0.7211374187621727,0.5012121212121212,0.3911111111111111,0.8674861072293387,0.75,0.775,0.6166666666666666,0.64,1.0,0.9666666666666666,20
BetaShap (U)32,0.6975666630122453,0.43272727272727274,0.3466666666666666,0.8685305543456495,0.75,0.825,0.6166666666666666,0.62,1.0,1.0,20
