Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.976411912486748,0.8754657998544104,0.7686390590562994,0.9895103865622045,0.92,0.8833333333333333,0.8640000000000001,1.0,1.0,100
TMC100,0.9551362992311203,0.8450170197598291,0.731003149412247,0.9806229559462756,0.86,0.8233333333333333,0.8420000000000001,1.0,0.995,100
ContextCite100,0.9634735604229541,0.8448884278881392,0.7256396832957273,0.9866774065277311,0.91,0.86,0.84,1.0,1.0,100
KernelShap64,0.961660638834504,0.8370715375262909,0.7176447054262585,0.9868547979273772,0.93,0.8733333333333333,0.8260000000000001,1.0,1.0,100
ContextCite64,0.9476514285713491,0.8165445323570311,0.6961393711760134,0.9815095904802797,0.91,0.8533333333333333,0.8140000000000001,1.0,1.0,100
TMC64,0.9335750407346282,0.7991918271786933,0.6798719497790117,0.9700065640935029,0.82,0.7933333333333333,0.812,1.0,0.995,100
KernelShap32,0.9294819184921674,0.7597908770218001,0.6331701281986276,0.9711365111361814,0.83,0.8133333333333332,0.78,1.0,1.0,100
ContextCite32,0.9199429761143315,0.7582322773659034,0.6298870161706048,0.9558011390441382,0.84,0.7966666666666667,0.78,1.0,0.99,100
TMC32,0.8946804293620331,0.6805222086118355,0.556306349962394,0.9414164498931905,0.79,0.7166666666666667,0.7440000000000001,1.0,0.995,100
BetaShap (U)100,0.8369959435813663,0.661656196855966,0.538907728932157,0.9292977796782277,0.72,0.7033333333333333,0.718,1.0,0.9933333333333333,100
BetaShap (U)64,0.832261724213327,0.6420202022071261,0.5229177731932192,0.9325055168723827,0.74,0.69,0.722,1.0,1.0,100
LOO,0.8725296988983082,0.6077864005912786,0.4862525252525252,0.9416585520882005,0.9,0.74,0.716,1.0,0.9883333333333333,100
BetaShap (U)32,0.807012033210976,0.5988697940181826,0.475806662082108,0.910182382368015,0.72,0.64,0.7240000000000001,1.0,1.0,100
