Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9959022429573625,0.8579784145102385,0.7458317727347632,0.995828722243292,1.0,0.95,0.8833333333333334,0.86,1.0,1.0,20
KernelShap64,0.9942717162556723,0.8284848484848484,0.7044444444444443,0.9938219624247925,1.0,0.9,0.8833333333333334,0.8800000000000001,1.0,1.0,20
ContextCite100,0.993012384346874,0.8187878787878787,0.6933333333333332,0.9903934209843905,1.0,0.9,0.85,0.75,1.0,1.0,20
ContextCite64,0.9881120034094797,0.7957575757575757,0.6644444444444444,0.9853513140088703,1.0,0.85,0.7833333333333333,0.79,1.0,1.0,20
KernelShap32,0.9780337657461656,0.7527272727272727,0.6244444444444444,0.9857184851532393,1.0,0.9,0.7833333333333333,0.8400000000000001,1.0,1.0,20
ContextCite32,0.9615403953148471,0.6922383656600477,0.5614375495956293,0.9669477448567102,1.0,0.825,0.7333333333333333,0.72,1.0,1.0,20
TMC100,0.9765311722334638,0.636969696969697,0.5244444444444444,0.9682793066725195,0.95,0.775,0.7333333333333333,0.75,1.0,1.0,20
TMC64,0.9709718386791482,0.5733333333333333,0.4666666666666666,0.9644247347524807,0.95,0.775,0.7,0.6900000000000001,1.0,1.0,20
TMC32,0.9449641997943916,0.5618181818181818,0.4466666666666666,0.9491966732828903,1.0,0.725,0.6666666666666666,0.67,1.0,1.0,20
BetaShap (U)32,0.8945006796124664,0.5466666666666666,0.4311111111111111,0.9487736740359163,0.95,0.775,0.6666666666666666,0.66,1.0,1.0,20
BetaShap (U)64,0.8579798122456396,0.49757575757575756,0.3866666666666666,0.9621092567696465,0.95,0.725,0.7,0.6,1.0,1.0,20
BetaShap (U)100,0.8311280836504216,0.4642424242424242,0.3644444444444444,0.9305071113488758,1.0,0.625,0.65,0.62,1.0,1.0,20
LOO,0.9717835914051334,0.4163636363636363,0.32666666666666666,0.9487019671121605,1.0,0.775,0.65,0.65,1.0,1.0,20
