Exact,ContextCite64,KernelShap64,BetaShap (U)64,TMC64,LOO
0.049998641450470845,0.0499977717463395,0.04999369753467204,0.09999429106620714,0.04999443559059478,0.0499993913743655
0.9500008192669025,0.9500022168050869,0.9500057282204224,0.8505775798475268,0.9499992644098217,0.949311763064466
1.2440494589401585e-14,3.1438381956822232e-15,8.377467932364697e-16,4.3668050808519306e-08,2.4837187209851754e-12,3.357564705887447e-11
2.589606306812097e-15,7.358765136750853e-16,6.669490197837945e-15,1.2718025940107151e-11,1.4522374037972564e-14,8.116397619057662e-11
5.392818805615318e-07,1.1447414352347506e-08,5.742448025982452e-07,0.04942794006381372,6.299986915072964e-06,0.0004901637324702857
6.427191400993865e-14,2.495293444709846e-15,4.5861847994807776e-14,8.068875606611176e-09,2.7658317538519387e-13,8.213083000853579e-11
1.7391255497099662e-15,1.4502862048481634e-15,6.617401090400268e-16,2.6883171702989295e-08,5.839222723533908e-14,3.991845447884116e-11
1.6174473653074613e-15,8.303292531183249e-16,6.119606788370522e-16,3.2151320356478087e-12,1.8981009275149244e-14,0.00019868074506055184
2.5781720486075634e-14,1.306586777213882e-14,4.404802533535584e-16,1.6262309792473767e-13,1.6329801819718152e-14,7.350742935937496e-10
6.377824986054464e-13,1.1376032215958698e-12,4.789714137580736e-14,1.103862584168911e-07,9.799959996927243e-12,1.1177441091766734e-10
