Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
ContextCite100,0.9955446429214849,0.875151515151515,0.7822222222222222,0.9985319504072512,10
WSS100,0.9969545895608578,0.875151515151515,0.7733333333333332,0.9994920420742621,10
ContextCite64,0.9947121644258241,0.8472727272727273,0.7244444444444443,0.9976497127459177,10
ContextCite32,0.9800341296082082,0.8436363636363635,0.72,0.9890040125757226,10
TMC100,0.9869666373672148,0.8254545454545454,0.72,0.9937104812085765,10
WSS32,0.9901732212188078,0.8084848484848484,0.6666666666666666,0.9973657893529116,10
WSS64,0.9950219140337919,0.806060606060606,0.6755555555555555,0.9959905987710351,10
TMC64,0.9676279868449182,0.7648484848484848,0.6355555555555554,0.9897570686858204,10
TMC32,0.9665480182884061,0.6472727272727272,0.5244444444444444,0.9921973094952756,10
LOO,0.9811179017228137,0.5939393939393939,0.45777777777777773,0.9826810864308279,10
BetaShap (U)100,0.8063167486078491,0.5903030303030302,0.4888888888888888,0.892226461469402,10
BetaShap (U)64,0.631448567703647,0.48969696969696963,0.3777777777777777,0.8306148210014364,10
BetaShap (U)32,0.6146898147069729,0.38909090909090904,0.3022222222222222,0.8366068823520889,10
