Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
TMC100,0.985470494940453,0.8436363636363635,0.7244444444444443,0.9904364282973575,10
WSS100,0.9975916769131448,0.8181818181818181,0.6844444444444444,0.993741436162896,10
TMC64,0.9699232354660738,0.8121212121212121,0.6844444444444444,0.9845589838676645,10
ContextCite64,0.9914940166168511,0.7806060606060605,0.6666666666666666,0.9927158954086888,10
ContextCite100,0.9924737126136985,0.7672727272727272,0.6444444444444444,0.9928008055983844,10
TMC32,0.9553577178170748,0.7418181818181817,0.6133333333333333,0.9852281396091207,10
WSS64,0.996213425051715,0.7248484848484849,0.591111111111111,0.9846316310674036,10
ContextCite32,0.9852862606959786,0.6751515151515151,0.5599999999999999,0.9873098312221865,10
BetaShap (U)100,0.8752358587012719,0.6678787878787877,0.5155555555555555,0.9331871870576481,10
BetaShap (U)64,0.8037144352172767,0.6012121212121212,0.47555555555555556,0.9296055699892856,10
WSS32,0.9905661324012127,0.5612121212121212,0.44444444444444436,0.9794975106524655,10
BetaShap (U)32,0.7990358599567302,0.553939393939394,0.4533333333333333,0.8684644082647661,10
LOO,0.9727684766185953,0.4678787878787879,0.3822222222222222,0.9633540563084834,10
