Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
ContextCite100,0.9815681469317827,0.864242424242424,0.7466666666666666,0.9864159792393348,10
TMC100,0.9365775658068763,0.8218181818181817,0.7022222222222221,0.9765781417208309,10
WSS100,0.9830083477041704,0.8145454545454545,0.6888888888888888,0.9919226141421309,10
TMC64,0.9396181188072426,0.7878787878787878,0.6755555555555555,0.9833628387063506,10
ContextCite64,0.9696829583147389,0.7806060606060605,0.6622222222222222,0.9914849625834938,10
WSS64,0.9476702934581857,0.6848484848484848,0.5333333333333333,0.9661262156122392,10
ContextCite32,0.9094205609632885,0.6363636363636364,0.49777777777777776,0.9617148549462401,10
WSS32,0.9351003244194486,0.6072727272727272,0.47111111111111104,0.9574998718280112,10
TMC32,0.8798184164279748,0.583030303030303,0.47999999999999987,0.9488292848359562,10
BetaShap (U)64,0.7016512962657565,0.5696969696969696,0.4533333333333333,0.8008854057183872,10
BetaShap (U)100,0.7168888763705674,0.5393939393939393,0.40888888888888886,0.8233540211972565,10
LOO,0.8501410778803841,0.41818181818181815,0.3288888888888889,0.8672946435205402,10
BetaShap (U)32,0.6215461037138068,0.39515151515151514,0.31111111111111106,0.7887941566157189,10
