,index,question,context,answer,id
0,0,"According to the official Xylos Tech Carnival regulations for the Aerial Symphony event (Cycle 78), what is the maximum permissible flight altitude for 'Class B Lumina-Drones'?","['For the Aerial Symphony, Class B Lumina-Drones are restricted to a maximum operational ceiling of 150 Zeters above designated performance airspace. This regulation for Cycle 78 was formally revised and adopted on Solara 12, Cycle 78. Class A drones retain their 250 Zeter limit.', ""Key changes for Xylos Tech Carnival's Aerial Symphony: an update on Solara 12, Cycle 78, now caps Class B Lumina-Drones at 150 Zeters. This aims to enhance spectator viewing angles. Higher-performance Class A units can still reach 250 Zeters."", ""The Aerial Symphony, a Xylos Tech Carnival highlight since Cycle 55, evolved from simple light displays. Early pioneers experimented with basic flight patterns. It's now a major spectacle of light and synchronized drone flight."", ""AeroGlyph Corp's Lumina-Drone Class A 'SkyPainter' models have a 300 Zeter service ceiling. The smaller Class C 'Sparkler' units are for ground-level displays, with a 10 Zeter maximum hover height. Class B specifications are detailed in a separate document."", ""Cycle 78's Xylos Tech Carnival features 'AstroBurgers' and the 'Synth-Smoothie' stand. A full list of food vendors and their locations is available. This document does not cover event regulations."", 'General atmospheric transit on Veridia Prime is governed by Colonial Mandate 7.3. Unrestricted flight above 1000 Zeters needs Veridian Air Traffic Control clearance. Low-altitude recreational zones are designated around settlements.', ""For last cycle's (Cycle 77) Aerial Symphony, Class B drones were permitted up to 180 Zeters. Regulations are subject to change for future cycles. Always consult the current cycle's rulebook."", ""Elara Vance discusses her team's artistic vision for Cycle 78's Aerial Symphony using custom Class A drones. 'We're focusing on intricate, low-altitude weaves this cycle,' she stated. Their focus is synchronicity with these advanced units."", 'Please remain within designated spectator areas during the Aerial Symphony for your safety. Emergency exits are clearly marked. Do not attempt to retrieve fallen drone parts.', ""The 'Zeter' (Zm) is Veridia Prime's standard unit for altitudinal measurement. One Zeter equals 1.1 Earth meters. This ensures consistent engineering and navigation.""]",150 Zeters,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
1,1,"For the Starship 'Odyssey's' Mark IV Cryosleep Chambers, what is the recommended pre-stasis hydration level (in Myco-liters) for 'Type Gamma' humanoids?","[""Mark IV Cryosleep Chamber protocols for Type Gamma humanoids specify a pre-stasis hydration target of 250 Myco-liters. The standard re-animation sequence is calibrated for a duration of 6 Z-Hours. These figures were confirmed in the latest 'Odyssey' crew manual update."", ""A pre-flight briefing for 'Odyssey' Type Gamma personnel highlighted key cryosleep parameters: ensure hydration reaches 250 Myco-liters prior to stasis. Expect the automated re-animation process to last approximately 6 Z-Hours, as per current guidelines."", ""The Starship 'Odyssey' is on a 50-cycle mission to the Kepler-186 system. It houses a crew of 200, including various humanoid and non-humanoid species. Its primary mission is deep-space exploration."", ""Mark III Cryosleep Chambers, used on older 'Voyager' class starships, required a different hydration protocol. These chambers also had a longer, 8 Z-Hour re-animation sequence. They are now considered obsolete technology."", ""Nutritional supplements for cryosleep include 'StasiGel' and 'VitaWake' compounds. These are administered intravenously during the pre-stasis phase. Specific dosages vary by species and metabolic rate."", 'A Z-Hour is a standardized time unit used across the Galactic Federation, equivalent to 1.3 Earth standard hours. Myco-liters are a micro-measurement for fluid volume. Both are critical for interstellar operations.', ""Emergency cryosleep chamber protocols involve manual overrides and a rapid re-animation sequence. This emergency sequence, however, carries higher physiological risks. It is only used in life-threatening situations aboard the 'Odyssey'."", 'Maintenance schedules for Mark IV Cryosleep Chambers require a full diagnostic every 10 cycles. Coolant levels and bio-filter integrity are key check-points. This ensures optimal performance during long voyages.', ""Type Delta humanoids aboard the 'Odyssey' have different cryosleep requirements. Their pre-stasis hydration is lower, and their re-animation is faster. Refer to specific species guidelines for details."", ""The 'Odyssey's' main computer, 'ORACLE', monitors all vital systems, including cryosleep functions. It logs data continuously and alerts engineering to any anomalies. ORACLE received its last software patch three rotations ago.""]",250 Myco-liters,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
2,2,"According to Xylan Mining Guild Regulation 3.B (Revision Gamma-7), what is the minimum purity percentage for 'Grade Prime' Glyptodon crystals?","[""Regulation 3.B (Rev. Gamma-7) states 'Grade Prime' Glyptodon crystals must achieve a minimum purity of 99.2%. Short-term unshielded storage requires an atmospheric pressure maintained strictly at 85 kPaX. Deviations can cause crystal degradation."", ""A Xylan Guild directive, updated under Gamma-7 of Regulation 3.B, specifies that Glyptodon crystals classified as 'Grade Prime' need to be at least 99.2% pure. For temporary storage without shielding, the ambient pressure must be kept at 85 kilo-Pascals Xylan (kPaX)."", ""Glyptodon crystals are mined exclusively on Xylos's moon, Xylos B. The Xylan Mining Guild was established in Galactic Year 3450. It oversees all resource extraction in the Xylan system."", 'Grade Secondary Glyptodon crystals have a lower purity requirement of 95%. They are primarily used for powering planetary defense shields. Their storage pressure is less stringent, around 100 kPaX.', ""The refinement process for Glyptodon crystals involves 'Cryo-Fractionation' and 'Neutrino Polishing'. This process is energy-intensive but crucial for achieving high purity. The largest refinery is located in Xylos City."", 'Kilo-Pascals Xylan (kPaX) is a unit of atmospheric pressure specific to Xylan industrial standards. One kPaX is roughly equivalent to 0.9 Earth standard kPa. This ensures consistency in Xylan engineering.', 'Regulation 3.A (Revision Delta-5) covered the transportation protocols for raw Glyptodon ore. It specified container types and radiation shielding requirements. This regulation is now superseded for refined crystals.', 'The primary export market for Grade Prime Glyptodon crystals is the Alpha Centauri Conglomerate. They use these crystals in advanced FTL drive cores. Trade agreements were renewed last fiscal period.', ""Safety gear for handling Glyptodon crystals includes 'Rad-Dampening' gloves and visors. Personnel must undergo specialized training. Accidental exposure can lead to 'Chrono-Flux Sickness'."", 'The current market price for Grade Prime Glyptodon crystals is 15,000 Galactic Credits per kilogram. Prices fluctuate based on demand and mining output. The Xylan Exchange tracks these values daily.']",99.2% purity,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
3,3,"In the official Zorgonian Fluxball Interstellar League (ZFIL) Rulebook, Edition 9.1, what is the maximum duration a 'Null-Sphere' can be actively deployed by a single team per 'Tri-Phase'?","['ZFIL Rulebook Edition 9.1, Section 5, Article 2b: A single team may actively deploy a Null-Sphere for a maximum of 30 Zorgonian-seconds per Tri-Phase. Section 7, Article 4c states Illegal Chrono-Echoing by a defender results in a 3-point penalty to their team.', 'Per current ZFIL regulations (Edition 9.1), teams are limited to 30 Zorgonian-seconds of Null-Sphere activation within any given Tri-Phase. Furthermore, if a defender engages in Illegal Chrono-Echoing, their team will be penalized 3 points.', ""Zorgonian Fluxball is a popular sport across the Andromeda Galaxy, originating on planet Zorgon Prime. The ZFIL was founded 200 Zorgonian years ago. The championship trophy is the 'Cosmic Cup'."", ""The 'Glimmer-Strike,' a complex offensive maneuver, allows players to score bonus points. It requires precise coordination and use of personal phase-shifters. Training for this move takes several Zorgonian months."", ""Fluxball player equipment includes 'Grav-Boots' and 'Kinetic Dampeners'. The ball itself, the 'Flux-Orb,' changes density randomly. Stadiums are often located in low-gravity environments."", ""A 'Tri-Phase' in Fluxball is a period of play lasting 15 Zorgonian minutes. Zorgonian-seconds are the base unit of time measurement in the sport. These are slightly shorter than Terran seconds."", 'In previous ZFIL Rulebook Edition 8.5, Null-Sphere deployment was limited to 25 Zorgonian-seconds. The penalty for Illegal Chrono-Echoing was also less severe, at only 2 points. These rules were updated for player safety.', ""The reigning ZFIL champions are the 'Nebula Nomads' from the Cygnus Sector. Their star player, Q'lar, is known for his exceptional Null-Sphere control. They are favored to win again this season."", ""Fluxball referees use 'Chrono-Whistles' that emit temporal pulses to signal fouls. They also wear 'Integrity Monitors' to detect illegal equipment modifications. Fair play is highly emphasized in the ZFIL."", ""The ZFIL broadcasting rights were recently acquired by 'Galaxy Sports Network'. They provide holographic coverage of all major matches. Subscription packages are available on their HoloNet channel.""]",30 Zorgonian-seconds,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
4,4,"As per the 'Grand Codex of Lumina Scribes,' Section IV, what is the maximum data density (in Kilo-Glyphs per square Centi-Lume) permissible on a 'Celestial Archive Plaque'?","[""The Grand Codex, Section IV, specifies 'Celestial Archive Plaques' have a maximum data density of 750 Kilo-Glyphs per square Centi-Lume. Authorized decryption interfaces for these plaques require a 'Harmonic Theta-Wave' energy signature. Unauthorized access attempts trigger data corruption."", ""According to Section IV of the Lumina Scribes' Grand Codex, storage capacity on Celestial Archive Plaques must not exceed 750 Kilo-Glyphs/sq. Centi-Lume. To read these plaques, the decryption device must be powered by a Harmonic Theta-Wave signature."", ""The Lumina Scribes are an ancient order dedicated to preserving galactic knowledge. Their central archive is located on the hidden planet 'Bibliotheca Prime'. Membership in the order is highly selective."", ""Ephemeral Scrolls,' another Lumina Scribe storage medium, are used for temporary records. They have a much lower data density, around 50 Kilo-Glyphs. Their decryption uses a simpler 'Alpha-Pulse' energy source."", ""The process of inscribing a Celestial Archive Plaque involves 'Photon Weaving' and 'Chrono-Stabilization'. This ensures data integrity for millennia. Only Master Scribes are permitted to perform this task."", ""A Kilo-Glyph is a unit representing 1000 pictographic data units. A Centi-Lume is a unit of area specific to Lumina Scribe technology. These units are defined in the Codex's appendix."", 'The previous version of the Grand Codex (Section III) allowed a higher data density of 800 Kilo-Glyphs. However, this led to instability issues with older plaques. The current limit was set for improved longevity.', ""The most famous Celestial Archive Plaque contains the 'Origin Myths of the Star-Forgers'. It is heavily guarded within the Sanctum of Ancients. Its contents are only accessible to the High Scribe."", ""Unauthorized attempts to access Lumina Scribe archives are met with 'Cognitive Echo' defenses. These psychic traps can incapacitate intruders. The security systems were designed by the First Scribe himself."", ""The Lumina Scribes use 'Starlight Looms' to create the raw materials for their plaques. These looms draw energy directly from nearby stars. The technology is unique to their order.""]",750 Kilo-Glyphs/sq. Centi-Lume,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
5,5,"For the 'NutriMax 7000' food synthesizers in Neo-Kyoto Spire's Sector Gamma residential towers, what is the designated 'Umami-Enhancement Level' (UEL) for 'Grade-A Comfort Meals'?","['Neo-Kyoto Spire Sector Gamma guidelines for NutriMax 7000 units specify a Umami-Enhancement Level of 8.5 UEL for Grade-A Comfort Meals. The flavor matrix sensors require mandatory recalibration every 30 Sols to maintain taste accuracy. This ensures resident satisfaction.', ""According to current protocols for Sector Gamma's NutriMax 7000 synthesizers, Grade-A Comfort Meals should be prepared with an 8.5 UEL umami setting. To ensure consistent flavor profiles, recalibration of the flavor sensors must occur every 30 Sols."", 'Neo-Kyoto Spire is a towering arcology on Mars, known for its advanced technology and synthesized cuisine. Sector Gamma is one of its most populous residential zones. The Spire was completed in 2242.', 'Basic Nutrient Pastes from the NutriMax 7000 have a much lower UEL, typically around 2.0. These are designed for sustenance rather than culinary experience. They are common in emergency ration packs.', ""The NutriMax 7000 uses 'Molecular Assemblers' and 'Flavor Cartridges' to create meals. Cartridges contain base proteins, carbohydrates, and concentrated flavor compounds. Expired cartridges must be recycled."", ""A 'Sol' is a Martian day, approximately 24 hours and 39 minutes in Earth time. UEL is a proprietary scale developed by 'Synthaste Inc.' to quantify umami intensity. Both are standard in Neo-Kyoto food tech."", ""Previous synthesizer models, like the 'NutriQuick 5000,' had a less sophisticated flavor matrix. Their recalibration interval was shorter, every 15 Sols. The NutriMax 7000 represents a significant upgrade."", ""The most popular Grade-A Comfort Meal in Sector Gamma is 'Simulated Ramen Prime'. It consistently receives high ratings in resident satisfaction surveys. Other options include 'Synth-Sushi Deluxe'."", ""Maintenance of NutriMax 7000 units is handled by 'SpireTech Solutions'. They perform routine checks and software updates. Emergency repairs are guaranteed within 2 Sols."", ""Nutrient cartridges for the NutriMax 7000 are ordered via the 'SpireNet' resident portal. Residents can customize their meal plans and dietary preferences. Delivery is automated via pneumatic tubes.""]",8.5 UEL,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
6,6,"According to 'Stellar Concord Fleet Manual Section 8.2 (Revision Epsilon),' what is the maximum stable 'Entanglement Decay Time' (EDT) in nano-clicks for a 'Pathfinder MkVI' QEC maintaining a link over 75 hyper-parsecs?","[""Fleet Manual Section 8.2 (Rev. Epsilon) states Pathfinder MkVI QECs have a maximum stable EDT of 500 nano-clicks for links up to 75 hyper-parsecs. Civilian QEC networks are allocated the 'Delta-Prime' Resonance Frequency Band (8.2-8.4 GigaHertz-Equivalent). Military bands are classified."", 'For Pathfinder MkVI QEC units, links sustained over 75 hyper-parsecs should not exceed an Entanglement Decay Time of 500 nano-clicks, as per Stellar Concord Manual 8.2 Epsilon. The Delta-Prime band (8.2-8.4 GHzE) is officially designated for non-military QEC communications.', 'Quantum Entanglement Communicators (QECs) allow for instantaneous communication across vast interstellar distances. The Stellar Concord heavily relies on this technology for fleet coordination. The first stable QEC link was established in 3045 CE.', ""Older 'Trailblazer MkV' QECs had a significantly shorter EDT of 200 nano-clicks for similar distances. They also operated on the now-decommissioned 'Gamma-Tertiary' frequency band. These units are being phased out."", ""QEC operation requires paired 'Quantum Cores' that are entangled at the subatomic level. These cores are extremely sensitive to external interference. Shielding them is a primary engineering concern."", ""A 'nano-click' is a femtosecond-scale time unit used in quantum temporal mechanics. A 'hyper-parsec' is a Concord-standardized unit for extreme interstellar distances, larger than a standard parsec. These units are critical for QEC performance metrics."", 'Section 8.1 (Revision Delta) of the Fleet Manual details QEC deployment strategies in contested systems. It emphasizes redundant links and signal masking techniques. This section is highly classified.', ""The primary manufacturer of Pathfinder MkVI QEC units is 'Chronosync Dynamics'. They also provide maintenance and calibration services for the Stellar Concord fleet. Their headquarters are on Cygnus X-1 Station."", ""Emergency QEC protocols involve using 'Burst Transmissions' on restricted military frequencies. These transmissions are short and encrypted. Unauthorized use carries severe penalties."", ""Civilian QEC licenses are issued by the 'Interstellar Communications Authority' (ICA). Applicants must demonstrate a need for FTL communication. Fees for civilian QEC use are substantial.""]",500 nano-clicks EDT,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
7,7,"For the 'MagmaWell Series 9' geothermal converters deployed in the Ashfall Caldera on Volcanis, what is the specified 'Heat Exchange Efficiency Rating' (HEER) under optimal load?","['MagmaWell Series 9 converters in Ashfall Caldera are rated for a Heat Exchange Efficiency (HEER) of 92.5% under optimal load conditions. Volcanis Geothermal Authority mandates a Containment Field Integrity Check every 15 Volcanian Rotations for these units. This ensures operational safety.', ""Operating specifications for Ashfall Caldera's MagmaWell Series 9 converters indicate an optimal HEER of 92.5%. Furthermore, regulations require that the integrity of their containment fields be verified every 15 rotations (Volcanian standard)."", 'Planet Volcanis is a geologically active world, rich in geothermal energy resources. The Ashfall Caldera is its largest and most stable geothermal site. The Volcanian colony was established for energy exploitation.', ""Older 'LavaCore Series 7' converters had a lower HEER of around 85%. Their containment fields also required more frequent checks, every 10 rotations. These are gradually being replaced by the Series 9."", ""MagmaWell converters use 'Plasma Conduits' to tap directly into magma chambers. The heat is then used to vaporize 'Cryo-Fluid,' driving turbines. This process generates vast amounts of electricity."", ""A 'Volcanian Rotation' is equivalent to 30 Earth hours, the length of a day on Volcanis. HEER is a dimensionless percentage indicating conversion efficiency. Both are key metrics for Volcanian power plants."", ""Emergency shutdown procedures for MagmaWell converters involve activating 'Thermal Damping Rods'. This rapidly cools the core to prevent meltdowns. Drills are conducted monthly for all personnel."", ""The primary consumer of Volcanis's geothermal power is the 'Orbital Shipyard Complex'. It requires a constant and massive energy supply for starship construction. Power is transmitted via high-capacity relays."", ""Maintenance of MagmaWell converters is performed by 'GeoTech Engineers'. They wear specialized 'Thermo-Resistant Suits' when working near active units. Safety protocols are extremely strict."", 'The Volcanis Geothermal Authority (VGA) oversees all power generation on the planet. They issue licenses and enforce safety regulations. The VGA reports to the Colonial Administration.']",92.5% HEER,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
8,8,"Within the Aethelburg 'Chrono-Impressionist' AI art movement guidelines (Verse 3.1), what is the maximum allowable 'Temporal Distortion Factor' (TDF) for generated still images?","[""Aethelburg Chrono-Impressionist guidelines (Verse 3.1) cap the Temporal Distortion Factor (TDF) at 0.15 for still images to maintain conceptual clarity. Submissions for public exhibition must be encoded with the 'LUMINA-7B' Aesthetic Resonance Key (ARK). This ensures stylistic coherence."", 'As per Verse 3.1 of the Chrono-Impressionist AI art directives in Aethelburg, still images must not exceed a TDF of 0.15. For an artwork to be considered for public display, it needs to be tagged with the LUMINA-7B ARK.', 'The Aethelburg Digital Renaissance is a cultural phenomenon celebrating AI-generated art. The Chrono-Impressionist movement is known for its evocative portrayal of time and memory. It emerged in the late 24th century.', ""The 'Neo-Symbolist' AI art movement, also popular in Aethelburg, allows for a much higher TDF, up to 0.5. Their ARK for submissions is 'MYSTICA-4G'. This movement explores abstract dreamscapes."", ""AI art generators in Aethelburg use 'Neural Weaving Processors' and 'Concept Seed Databases'. Artists guide the AI by providing initial themes and stylistic parameters. The process is a collaboration between human and AI."", ""The Temporal Distortion Factor (TDF) is a dimensionless value indicating the degree of perceived temporal flux in an image. The Aesthetic Resonance Key (ARK) is a cryptographic hash ensuring authenticity and style compliance. Both are specific to Aethelburg's art scene."", 'Early Chrono-Impressionist guidelines (Verse 2.0) had a more lenient TDF cap of 0.25. However, this often resulted in overly chaotic imagery. The current limit was established by the Aethelburg Art Council.', ""The most celebrated Chrono-Impressionist AI artist is known only as 'Eon'. Eon's works, like 'Fading Echoes of Tomorrow,' consistently use a TDF close to the maximum limit. They are displayed in Aethelburg's Grand Digital Museum."", ""AI art submissions are reviewed by the 'Curatorial AI Collective' (CAC). The CAC uses advanced algorithms to assess artistic merit and adherence to movement guidelines. Their decisions are generally final."", 'The Aethelburg government provides grants for promising AI artists. These grants support the development of new AI models and artistic techniques. The goal is to foster Aethelburg as a hub of digital creativity.']",0.15 TDF,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
9,9,"According to HyperLane Haulers Special Cargo Directive 77-Gamma, what is the maximum permissible 'Quantum Fluctuation Index' (QFI) for transporting 'Cryo-stabilized Quasar Crystals'?","['HyperLane Haulers Directive 77-Gamma specifies that Cryo-stabilized Quasar Crystals must maintain a Quantum Fluctuation Index below 0.025 QFI during transit. For Type-3 Hauler vessels, a mandatory Containment Resonance Dampening frequency of 12.5 TeraHertz must be active. Non-compliance risks catastrophic de-stabilization.', ""A recent update to HyperLane Haulers' hazardous materials protocol (ref: SCD 77-Gamma) re-affirmed the 0.025 QFI ceiling for transported Quasar Crystals. Furthermore, Type-3 Haulers must utilize a 12.5 THz CRD frequency to ensure containment integrity for this specific cargo."", ""HyperLane Haulers is a leading interstellar logistics company, specializing in rapid FTL shipping across the Orion Arm. Founded in Galactic Year 2850, it operates a diverse fleet of cargo vessels. Their motto is 'Delivering the Future, Faster.'"", ""Standard 'Inertial Dampeners' on Type-3 Haulers are primarily used to protect cargo from G-force stresses during FTL jumps. These systems operate independently of the CRD. They are effective for general cargo protection."", ""Shipping routes for hazardous materials like Quasar Crystals are often restricted to designated 'Safe Corridors'. These corridors are patrolled by the Interstellar Trade Authority. Deviations require special clearance."", 'The Quantum Fluctuation Index (QFI) is a measure of subatomic instability in exotic materials. TeraHertz (THz) is a unit of frequency, often used in advanced sensor and communication technologies. Both are critical in high-tech logistics.', 'Directive 76-Beta, the previous regulation for Quasar Crystal transport, allowed a slightly higher QFI of 0.030. It also specified a CRD frequency of 12.0 THz for older Type-2 Haulers. That directive is now superseded by 77-Gamma.', ""Captain Eva Rostova, of the Type-3 Hauler 'Stardust Drifter,' commented on the challenges of Quasar Crystal transport. 'It requires constant vigilance and system monitoring,' she said. 'Our crew is highly trained for these high-risk assignments.'"", 'Cryo-stabilization units for Quasar Crystals must maintain a temperature of -270 degrees Celsius. Power fluctuations to these units can also increase the QFI. Backup power systems are mandatory for these cargo types.', 'The primary market for Quasar Crystals is the Solarian Advanced Energy Consortium. They are used in next-generation fusion reactors. Demand has increased significantly in recent Galactic Cycles.']",Below 0.025 QFI,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
